conv_id,msg_idx,latency_ms
conv_09,36,0.371167
conv_09,37,0.195166
conv_09,38,0.139833
conv_09,39,0.128292
conv_09,40,0.135500
conv_09,41,0.175625
conv_09,42,0.295541
conv_09,43,0.146458
conv_09,44,0.159625
conv_09,45,0.145583
conv_09,46,0.157250
conv_09,47,0.176834
conv_09,48,0.168208
conv_09,49,0.275875
conv_09,50,0.169791
conv_09,51,0.172917
conv_09,52,0.166333
conv_09,53,0.168584
conv_09,54,0.166125
conv_09,55,0.287417
conv_09,56,0.174875
conv_09,57,0.204708
conv_09,58,0.228084
conv_09,59,0.219916
conv_09,60,0.202458
conv_09,61,0.221292
conv_09,62,0.304541
conv_09,63,0.216708
conv_09,64,0.215708
conv_09,65,0.204541
conv_09,66,0.191416
conv_09,67,0.198916
conv_09,68,0.212958
conv_09,69,0.204500
conv_09,70,0.287125
conv_09,71,0.218875
conv_09,72,0.203042
conv_09,73,0.231209
conv_09,74,0.209750
conv_09,75,0.234042
conv_09,76,0.224792
conv_09,77,0.202750
conv_09,78,0.306834
conv_09,79,0.219500
conv_09,80,0.221209
conv_09,81,0.235250
conv_09,82,0.245000
conv_09,83,0.237083
conv_09,84,0.232792
conv_09,85,0.232042
conv_09,86,0.338209
conv_09,87,0.240750
conv_09,88,0.239750
conv_09,89,0.216375
conv_09,90,0.236750
conv_09,91,0.224792
conv_09,92,0.223750
conv_09,93,0.224375
conv_09,94,0.206583
conv_09,95,0.319000
conv_09,96,0.205416
conv_09,97,0.225000
conv_09,98,0.214083
conv_09,99,0.220167
conv_09,100,0.226125
conv_09,101,0.250709
conv_09,102,0.225417
conv_09,103,0.322042
conv_09,104,0.221333
conv_09,105,0.255500
conv_09,106,0.252083
conv_09,107,0.263167
conv_09,108,0.267000
conv_09,109,0.247375
conv_09,110,0.260542
conv_09,111,0.347542
conv_09,112,0.264333
conv_09,113,0.254833
conv_09,114,0.268292
conv_09,115,0.252250
conv_09,116,0.267625
conv_09,117,0.263375
conv_09,118,0.346541
conv_09,119,0.258500
conv_10,0,0.078333
conv_10,1,0.040625
conv_10,2,0.032292
conv_10,3,0.021750
conv_10,4,0.014167
conv_10,5,0.016958
conv_10,6,0.022167
conv_10,7,0.024166
conv_10,8,0.029833
conv_10,9,0.059500
conv_10,10,0.032000
conv_10,11,0.028792
conv_10,12,0.027125
conv_10,13,0.037542
conv_10,14,0.025708
conv_10,15,0.663583
conv_10,16,0.088000
conv_10,17,0.057833
conv_10,18,0.049333
conv_10,19,0.042792
conv_10,20,0.048208
conv_10,21,0.040083
conv_10,22,0.028125
conv_10,23,0.031125
conv_10,24,0.041125
conv_10,25,0.027666
conv_10,26,0.048958
conv_10,27,0.071292
conv_10,28,0.077500
conv_10,29,0.062083
conv_10,30,0.072833
conv_10,31,0.059750
conv_10,32,0.082042
conv_10,33,0.077459
conv_10,34,0.403875
conv_10,35,0.131083
conv_10,36,0.191292
conv_10,37,0.183875
conv_10,38,0.177250
conv_10,39,0.210250
conv_10,40,0.201667
conv_10,41,0.458084
conv_10,42,0.234792
conv_10,43,0.201917
conv_10,44,0.189625
conv_10,45,0.199125
conv_10,46,0.352958
conv_10,47,0.208417
conv_10,48,0.203750
conv_10,49,0.213667
conv_10,50,0.190000
conv_10,51,0.208041
conv_10,52,0.320292
conv_10,53,0.241333
conv_10,54,0.235417
conv_10,55,0.214375
conv_10,56,0.247167
conv_10,57,0.248666
conv_10,58,0.226584
conv_10,59,0.374541
conv_10,60,0.243292
conv_10,61,0.281250
conv_10,62,0.239500
conv_10,63,0.244834
conv_10,64,0.269791
conv_10,65,0.380250
conv_10,66,0.279417
conv_10,67,0.246375
conv_10,68,0.246250
conv_10,69,0.225834
conv_10,70,0.294583
conv_10,71,0.444625
conv_10,72,0.277708
conv_10,73,0.280833
conv_10,74,0.274000
conv_10,75,0.249417
conv_10,76,0.398750
conv_10,77,0.308458
