conv_id,msg_idx,latency_ms,is_merge
conv_07,52,1782.3770,true
conv_07,53,1747.4189,true
conv_07,54,1796.5198,true
conv_07,55,1755.7015,true
conv_07,56,1829.4623,true
conv_07,57,2418.7345,true
conv_07,58,1564.8671,true
conv_07,59,1911.8645,true
conv_07,60,2259.2681,true
conv_07,61,1996.2936,true
conv_07,62,897.5144,true
conv_07,63,1811.6856,true
conv_07,64,2068.4964,true
conv_07,65,2098.4786,true
conv_07,66,2222.0010,true
conv_07,67,1775.4412,true
conv_07,68,2294.8610,true
conv_07,69,2074.5448,true
conv_07,70,1843.0325,true
conv_07,71,3016.7124,true
conv_07,72,977.9760,true
conv_07,73,2661.4875,true
conv_07,74,2150.0627,true
conv_07,75,2184.7834,true
conv_07,76,2116.7600,true
conv_07,77,2559.9777,true
conv_07,78,2456.8721,true
conv_07,79,2459.2252,true
conv_07,80,2993.7774,true
conv_07,81,2739.7977,true
conv_07,82,2662.7482,true
conv_07,83,3070.6740,true
conv_07,84,3995.1471,true
conv_07,85,2890.8981,true
conv_07,86,2637.5452,true
conv_07,87,3584.0742,true
conv_07,88,2867.7729,true
conv_07,89,2122.6423,true
conv_07,90,3338.4626,true
conv_07,91,3653.0098,true
conv_07,92,2820.3447,true
conv_07,93,2607.9853,true
conv_07,94,2763.1494,true
conv_07,95,3888.0207,true
conv_07,96,3280.3928,true
conv_07,97,3815.8603,true
conv_07,98,3352.3970,true
conv_07,99,3520.4711,true
conv_07,100,3043.4710,true
conv_07,101,3352.6285,true
conv_07,102,4421.2005,true
conv_07,103,2807.0940,true
conv_07,104,2666.5160,true
conv_07,105,1879.7770,true
conv_07,106,2083.3592,true
conv_07,107,2402.8530,true
conv_07,108,2394.1065,true
conv_07,109,2810.8051,true
conv_07,110,2719.1783,true
conv_07,111,3212.0669,true
conv_07,112,1122.7750,true
conv_07,113,2627.9485,true
conv_07,114,3233.7469,true
conv_07,115,2433.3011,true
conv_07,116,2420.5912,true
conv_07,117,2163.5151,true
conv_07,118,2089.3055,true
conv_07,119,2608.7255,true
conv_08,0,0.0507,false
conv_08,1,0.0068,false
conv_08,2,0.0126,false
conv_08,3,0.0116,false
conv_08,4,0.0230,false
conv_08,5,0.0081,false
conv_08,6,0.0099,false
conv_08,7,0.0208,false
conv_08,8,0.0088,false
conv_08,9,0.0138,false
conv_08,10,0.0066,false
conv_08,11,0.0208,false
conv_08,12,0.3725,false
conv_08,13,0.0200,false
conv_08,14,0.0197,false
conv_08,15,0.0074,false
conv_08,16,0.0102,false
conv_08,17,0.0174,false
conv_08,18,0.0237,false
conv_08,19,0.0093,false
conv_08,20,0.0047,false
conv_08,21,0.0280,false
conv_08,22,0.0337,false
conv_08,23,0.0085,false
conv_08,24,0.0117,false
conv_08,25,0.0117,false
conv_08,26,0.0205,false
conv_08,27,0.0223,false
conv_08,28,0.0221,false
conv_08,29,0.0078,false
conv_08,30,0.0149,false
conv_08,31,0.0361,false
conv_08,32,0.0336,false
conv_08,33,0.0193,false
conv_08,34,0.0167,false
conv_08,35,0.0379,false
conv_08,36,0.0209,false
conv_08,37,0.0340,false
conv_08,38,0.0317,false
conv_08,39,0.0346,false
conv_08,40,1230.2145,true
conv_08,41,1351.7385,true
conv_08,42,1187.1086,true
conv_08,43,1200.5973,true
conv_08,44,1192.9261,true
conv_08,45,1499.3888,true
conv_08,46,1487.8633,true
conv_08,47,1434.5251,true
conv_08,48,1732.4835,true
conv_08,49,1546.7236,true
conv_08,50,2065.5225,true
conv_08,51,1471.9772,true
conv_08,52,1421.5488,true
conv_08,53,1641.7961,true
conv_08,54,1578.3224,true
conv_08,55,1725.7879,true
conv_08,56,1956.9679,true
conv_08,57,1557.6588,true
conv_08,58,1484.3427,true
conv_08,59,1422.2991,true
conv_08,60,1128.5803,true
conv_08,61,1330.3585,true
conv_08,62,1353.5894,true
conv_08,63,1101.7903,true
conv_08,64,1536.8237,true
conv_08,65,1127.7862,true
conv_08,66,1221.1220,true
conv_08,67,1616.0765,true
conv_08,68,1738.5780,true
conv_08,69,1465.5943,true
conv_08,70,2252.3300,true
conv_08,71,2298.0792,true
conv_08,72,1285.5152,true
conv_08,73,1128.4020,true
conv_08,74,1023.0935,true
conv_08,75,996.7961,true
conv_08,76,1253.6161,true
conv_08,77,1547.2745,true
conv_08,78,1322.4612,true
conv_08,79,1315.8380,true
conv_08,80,1321.3233,true
conv_08,81,926.5090,true
conv_08,82,1657.1056,true
conv_08,83,1203.3499,true
conv_08,84,1624.9080,true
conv_08,85,1480.0625,true
conv_08,86,1944.9990,true
conv_08,87,2098.1433,true
conv_08,88,2521.9660,true
conv_08,89,1873.8598,true
conv_08,90,1840.4456,true
conv_08,91,1696.7172,true
conv_08,92,2865.2030,true
conv_08,93,2256.1096,true
conv_08,94,855.0858,true
conv_08,95,1394.9685,true
conv_08,96,968.3203,true
conv_08,97,2558.2105,true
conv_08,98,11173.0095,true
conv_08,99,2419.5623,true
conv_08,100,2180.1895,true
conv_08,101,1590.5535,true
conv_08,102,2252.6878,true
conv_08,103,1946.5366,true
conv_08,104,2326.9479,true
conv_08,105,2259.5655,true
